ZIP,BLDGNO1,STREET1,STSUFX1,COUNTY,CITY,STATUS1,STATUS2,STATUS3,BLOCK,LOT,full_address
11211,680,METROPOLITAN,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,2763,22,680 METROPOLITAN AVE
11211,681,METROPOLITAN,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,2758,27,681 METROPOLITAN AVE
11211,684,METROPOLITAN,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,2763,23,684 METROPOLITAN AVE
11211,713,METROPOLITAN,AVE,MULTIPLE,DWELLING,A,421-A,(1-15),2759,36,713 METROPOLITAN AVE
11211,717,METROPOLITAN,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,2759,34,717 METROPOLITAN AVE
11211,758,METROPOLITAN,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,2765,12,758 METROPOLITAN AVE
11211,760,METROPOLITAN,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,2765,13,760 METROPOLITAN AVE
11211,864,METROPOLITAN,AVE,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,2916,27,864 METROPOLITAN AVE
11211,878,METROPOLITAN,AVE,A,GARDEN,COMPLEX,421-A,(16),2916,32,878 METROPOLITAN AVE
11211,880,TO 882 METROPOLITAN,AVE,A,GARDEN,COMPLEX,421-A,(16),2916,33,880 TO 882 METROPOLITAN AVE
11211,917,METROPOLITAN,AVE,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,2913,71,917 METROPOLITAN AVE
11211,918,METROPOLITAN,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,2917,4,918 METROPOLITAN AVE
11211,921,METROPOLITAN,AVE,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,2913,70,921 METROPOLITAN AVE
11211,924,METROPOLITAN,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,2917,7,924 METROPOLITAN AVE
11211,925,METROPOLITAN,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,2913,69,925 METROPOLITAN AVE
11211,929,METROPOLITAN,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,2913,68,929 METROPOLITAN AVE
11211,933,METROPOLITAN,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,2913,67,933 METROPOLITAN AVE
11211,935,METROPOLITAN,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,2913,66,935 METROPOLITAN AVE
11211,936,METROPOLITAN,AVE,MULTIPLE,DWELLING,A,421-A,(1-15),2917,11,936 METROPOLITAN AVE
11211,939,METROPOLITAN,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,2913,65,939 METROPOLITAN AVE
11211,945,METROPOLITAN,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,2913,63,945 METROPOLITAN AVE
11211,947,METROPOLITAN,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,2913,62,947 METROPOLITAN AVE
11211,977,METROPOLITAN,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,2913,54,977 METROPOLITAN AVE
11211,979,METROPOLITAN,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,2913,53,979 METROPOLITAN AVE
11211,130,N 10TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2304,7,130 N 10TH ST
11211,132,N 10TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2304,8,132 N 10TH ST
11211,148,N 10TH,ST,MULTIPLE,DWELLING,A,421-A,(1-15),2304,15,148 N 10TH ST
11211,150,N 10TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2304,18,150 N 10TH ST
11211,152,N 10TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2304,19,152 N 10TH ST
11211,171,N 10TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2298,29,171 N 10TH ST
11211,178,N 10TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2305,15,178 N 10TH ST
11211,180,N 10TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2305,16,180 N 10TH ST
11211,182,N 10TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2305,17,182 N 10TH ST
11211,250,N 10TH,ST,MULTIPLE,DWELLING,A,421-A,(1-15),2307,1,250 N 10TH ST
11211,141,N 11TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2290,26,141 N 11TH ST
11211,174,N 11TH,ST,MULTIPLE,DWELLING,A,421-A,(16),2298,13,174 N 11TH ST
11211,206,TO 210 N 12TH,ST,A,GARDEN,COMPLEX,421-A,(1-15),2291,17,206 TO 210 N 12TH ST
11211,95,N 1ST,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2364,13,95 N 1ST ST
11211,97,N 1ST,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2364,113,97 N 1ST ST
11211,132,N 1ST,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2380,12,132 N 1ST ST
11211,45,TO 53 N 3RD,ST,MULTIPLE,DWELLING,A,421-A,(1-15),2349,7501,45 TO 53 N 3RD ST
11211,107,N 3RD,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2350,26,107 N 3RD ST
11211,109,N 3RD,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2350,26,109 N 3RD ST
11211,111,N 3RD,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2350,26,111 N 3RD ST
11211,127,N 4TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2343,23,127 N 4TH ST
11211,155,TO 159 N 4TH,ST,MULTIPLE,DWELLING,A,421-A,(1-15),2344,7503,155 TO 159 N 4TH ST
11211,20,N 5TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2340,7502,20 N 5TH ST
11211,170,N 5TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2344,16,170 N 5TH ST
11211,174,N 5TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2344,16,174 N 5TH ST
11211,191,TO 193 N 5TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2337,41,191 TO 193 N 5TH ST
11211,226,N 5TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2346,11,226 N 5TH ST
11211,231,N 5TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2338,38,231 N 5TH ST
11211,246,N 5TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2346,20,246 N 5TH ST
11211,27,N 6TH,ST,MULTIPLE,DWELLING,A,421-A,(1-15),2324,7501,27 N 6TH ST
11211,135,N 6TH,ST,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,2327,35,135 N 6TH ST
11211,140,TO 146 N 6TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2335,7501,140 TO 146 N 6TH ST
11211,195,N 6TH,ST,MULTIPLE,DWELLING,A,421-A,(1-15),2329,40,195 N 6TH ST
11211,201,N 6TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2329,37,201 N 6TH ST
11211,207,N 6TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2329,35,207 N 6TH ST
11211,211,N 6TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2329,34,211 N 6TH ST
11211,214,N 6TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2337,14,214 N 6TH ST
11211,215,N 6TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2329,32,215 N 6TH ST
11211,222,N 6TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2337,18,222 N 6TH ST
11211,250,TO 252 N 6TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,B,2338,12,250 TO 252 N 6TH ST
11211,262,N 6TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2338,18,262 N 6TH ST
11211,279,N 6TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2331,46,279 N 6TH ST
11211,62,N 7TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2325,9,62 N 7TH ST
11211,64,N 7TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2325,10,64 N 7TH ST
11211,76,N 7TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2325,16,76 N 7TH ST
11211,78,N 7TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2325,17,78 N 7TH ST
11211,102,N 7TH,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,2326,11,102 N 7TH ST
